"SubjectID ""ActivityName"" ""Means"""
"1 ""LAYING"" -0.550291295194125"
"1 ""SITTING"" -0.623218483769477"
"1 ""STANDING"" -0.63421121871608"
"1 ""WALKING"" -0.16999522873776"
"1 ""WALKING_DOWNSTAIRS"" -0.0905220107646802"
"1 ""WALKING_UPSTAIRS"" -0.262278274729285"
"2 ""LAYING"" -0.609237219595222"
"2 ""SITTING"" -0.635822474832828"
"2 ""STANDING"" -0.623141683859863"
"2 ""WALKING"" -0.292173340926024"
"2 ""WALKING_DOWNSTAIRS"" -0.0500917862055319"
"2 ""WALKING_UPSTAIRS"" -0.218374161285471"
"3 ""LAYING"" -0.600472417817888"
"3 ""SITTING"" -0.60587933561941"
"3 ""STANDING"" -0.596476918918635"
"3 ""WALKING"" -0.284404928596379"
"3 ""WALKING_DOWNSTAIRS"" -0.168756827406697"
"3 ""WALKING_UPSTAIRS"" -0.300684668366216"
"4 ""LAYING"" -0.595032071357097"
"4 ""SITTING"" -0.616772962119234"
"4 ""STANDING"" -0.588568428792899"
"4 ""WALKING"" -0.353378556639844"
"4 ""WALKING_DOWNSTAIRS"" -0.21232218343894"
"4 ""WALKING_UPSTAIRS"" -0.278221638190398"
"5 ""LAYING"" -0.605415126539511"
"5 ""SITTING"" -0.617146868703791"
"5 ""STANDING"" -0.582410845323651"
"5 ""WALKING"" -0.254802969179834"
"5 ""WALKING_DOWNSTAIRS"" -0.0824064677096417"
"5 ""WALKING_UPSTAIRS"" -0.18863526988857"
"6 ""LAYING"" -0.58176265380719"
"6 ""SITTING"" -0.617034512980337"
"6 ""STANDING"" -0.607551091770477"
"6 ""WALKING"" -0.204723631254311"
"6 ""WALKING_DOWNSTAIRS"" 0.0505483984518654"
"6 ""WALKING_UPSTAIRS"" -0.143072453857692"
"7 ""LAYING"" -0.590780272128209"
"7 ""SITTING"" -0.611368064743333"
"7 ""STANDING"" -0.609242729817884"
"7 ""WALKING"" -0.169582874556015"
"7 ""WALKING_DOWNSTAIRS"" -0.110624514807422"
"7 ""WALKING_UPSTAIRS"" -0.305566346713767"
"8 ""LAYING"" -0.589044807383024"
"8 ""SITTING"" -0.625556881893873"
"8 ""STANDING"" -0.617840747073679"
"8 ""WALKING"" -0.123184867188954"
"8 ""WALKING_DOWNSTAIRS"" 0.0509749144012597"
"8 ""WALKING_UPSTAIRS"" -0.0939509521287805"
"9 ""LAYING"" -0.594854946765252"
"9 ""SITTING"" -0.603621325757738"
"9 ""STANDING"" -0.602977382203574"
"9 ""WALKING"" -0.245681263774045"
"9 ""WALKING_DOWNSTAIRS"" -0.099768511650959"
"9 ""WALKING_UPSTAIRS"" -0.292434992222677"
"10 ""LAYING"" -0.620801384389477"
"10 ""SITTING"" -0.635422790508625"
"10 ""STANDING"" -0.605355122414784"
"10 ""WALKING"" -0.177188094114473"
"10 ""WALKING_DOWNSTAIRS"" -0.0433118918882701"
"10 ""WALKING_UPSTAIRS"" -0.163528865503985"
"11 ""LAYING"" -0.605688094174003"
"11 ""SITTING"" -0.628575518456836"
"11 ""STANDING"" -0.629725892767987"
"11 ""WALKING"" -0.335526224858835"
"11 ""WALKING_DOWNSTAIRS"" -0.148802905982292"
"11 ""WALKING_UPSTAIRS"" -0.310560292353713"
"12 ""LAYING"" -0.59485560702555"
"12 ""SITTING"" -0.626775525639617"
"12 ""STANDING"" -0.604489103176458"
"12 ""WALKING"" -0.226081871744698"
"12 ""WALKING_DOWNSTAIRS"" -0.118653976698737"
"12 ""WALKING_UPSTAIRS"" -0.296574264268127"
"13 ""LAYING"" -0.597435276372485"
"13 ""SITTING"" -0.633256582713231"
"13 ""STANDING"" -0.625856353404795"
"13 ""WALKING"" -0.18564459076017"
"13 ""WALKING_DOWNSTAIRS"" -0.114058236759012"
"13 ""WALKING_UPSTAIRS"" -0.271828276538373"
"14 ""LAYING"" -0.572752041063323"
"14 ""SITTING"" -0.628987356185846"
"14 ""STANDING"" -0.617594312241304"
"14 ""WALKING"" -0.251187606069391"
"14 ""WALKING_DOWNSTAIRS"" 0.0616304023768452"
"14 ""WALKING_UPSTAIRS"" -0.0639110663747055"
"15 ""LAYING"" -0.599880784195913"
"15 ""SITTING"" -0.63194365614248"
"15 ""STANDING"" -0.616925665887161"
"15 ""WALKING"" -0.267235686372708"
"15 ""WALKING_DOWNSTAIRS"" -0.0484333193249532"
"15 ""WALKING_UPSTAIRS"" -0.237483177594577"
"16 ""LAYING"" -0.609446321308102"
"16 ""SITTING"" -0.633744794736035"
"16 ""STANDING"" -0.627051595679944"
"16 ""WALKING"" -0.337879582001205"
"16 ""WALKING_DOWNSTAIRS"" -0.145625083959777"
"16 ""WALKING_UPSTAIRS"" -0.319766936189592"
"17 ""LAYING"" -0.596955701353741"
"17 ""SITTING"" -0.645469660253991"
"17 ""STANDING"" -0.636120811330256"
"17 ""WALKING"" -0.272594775280422"
"17 ""WALKING_DOWNSTAIRS"" -0.162674591951272"
"17 ""WALKING_UPSTAIRS"" -0.242198788349914"
"18 ""LAYING"" -0.611739092623892"
"18 ""SITTING"" -0.641887550996151"
"18 ""STANDING"" -0.627080446334627"
"18 ""WALKING"" -0.350948661027119"
"18 ""WALKING_DOWNSTAIRS"" -0.303287765589601"
"18 ""WALKING_UPSTAIRS"" -0.362465311124652"
"19 ""LAYING"" -0.608803961482245"
"19 ""SITTING"" -0.626316440273985"
"19 ""STANDING"" -0.618455556917249"
"19 ""WALKING"" -0.0507946668308854"
"19 ""WALKING_DOWNSTAIRS"" 0.201664455123531"
"19 ""WALKING_UPSTAIRS"" -0.14166092388252"
"20 ""LAYING"" -0.603959540125846"
"20 ""SITTING"" -0.625081490678495"
"20 ""STANDING"" -0.589757593404823"
"20 ""WALKING"" -0.077369179646198"
"20 ""WALKING_DOWNSTAIRS"" 0.0119602438483355"
"20 ""WALKING_UPSTAIRS"" -0.15547695834325"
"21 ""LAYING"" -0.595106155404443"
"21 ""SITTING"" -0.641689148278488"
"21 ""STANDING"" -0.623951878326411"
"21 ""WALKING"" -0.209853641123954"
"21 ""WALKING_DOWNSTAIRS"" -0.072768656113337"
"21 ""WALKING_UPSTAIRS"" -0.239211355919941"
"22 ""LAYING"" -0.585432874192634"
"22 ""SITTING"" -0.618940018002676"
"22 ""STANDING"" -0.611236417978447"
"22 ""WALKING"" -0.130707757810159"
"22 ""WALKING_DOWNSTAIRS"" -0.0765559293583247"
"22 ""WALKING_UPSTAIRS"" -0.138919849035343"
"23 ""LAYING"" -0.604537367452958"
"23 ""SITTING"" -0.625033961097516"
"23 ""STANDING"" -0.618855895772202"
"23 ""WALKING"" -0.0965883714080467"
"23 ""WALKING_DOWNSTAIRS"" 0.0346330027409016"
"23 ""WALKING_UPSTAIRS"" -0.202675768259544"
"24 ""LAYING"" -0.604398155439809"
"24 ""SITTING"" -0.635288021793815"
"24 ""STANDING"" -0.617165124433951"
"24 ""WALKING"" -0.317966979289599"
"24 ""WALKING_DOWNSTAIRS"" -0.177927430223347"
"24 ""WALKING_UPSTAIRS"" -0.305404108651845"
"25 ""LAYING"" -0.518195033521585"
"25 ""SITTING"" -0.635631672131458"
"25 ""STANDING"" -0.621793160676321"
"25 ""WALKING"" -0.377492395283028"
"25 ""WALKING_DOWNSTAIRS"" -0.271629951324327"
"25 ""WALKING_UPSTAIRS"" -0.373150440683839"
"26 ""LAYING"" -0.610681847427434"
"26 ""SITTING"" -0.62981136679493"
"26 ""STANDING"" -0.622929371384278"
"26 ""WALKING"" -0.280012715205938"
"26 ""WALKING_DOWNSTAIRS"" -0.109380868916659"
"26 ""WALKING_UPSTAIRS"" -0.272860289924107"
"27 ""LAYING"" -0.612943250492253"
"27 ""SITTING"" -0.636662709769843"
"27 ""STANDING"" -0.626337503114858"
"27 ""WALKING"" -0.277726292374832"
"27 ""WALKING_DOWNSTAIRS"" -0.116232325257649"
"27 ""WALKING_UPSTAIRS"" -0.307425565641418"
"28 ""LAYING"" -0.618330034557139"
"28 ""SITTING"" -0.630115058196849"
"28 ""STANDING"" -0.596868545705485"
"28 ""WALKING"" -0.273803544693859"
"28 ""WALKING_DOWNSTAIRS"" -0.0762496612895292"
"28 ""WALKING_UPSTAIRS"" -0.266314613175149"
"29 ""LAYING"" -0.612473324303234"
"29 ""SITTING"" -0.636958358233082"
"29 ""STANDING"" -0.629188970860877"
"29 ""WALKING"" -0.222627106187615"
"29 ""WALKING_DOWNSTAIRS"" -0.111386489782976"
"29 ""WALKING_UPSTAIRS"" -0.178753909910953"
"30 ""LAYING"" -0.600319648499553"
"30 ""SITTING"" -0.629977883529402"
"30 ""STANDING"" -0.598732716219698"
"30 ""WALKING"" -0.231041833687642"
"30 ""WALKING_DOWNSTAIRS"" -0.151233461300976"
"30 ""WALKING_UPSTAIRS"" -0.279863070694096"
